Topic ID,Title,Fancy Title,Slug,Posts Count,Reply Count,Highest Post Number,Image URL,Created At,Last Posted At,Views,Like Count,Pinned,Unpinned,Closed,Visible,Tags,Last Poster Username,Category ID,posters,Original Poster ID
20722,The Arbitrum Expansion Program and Developer Guild,The Arbitrum Expansion Program and Developer Guild,the-arbitrum-expansion-program-and-developer-guild,3,0,3,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/c/c4d701496e68a33403f8af19f938be89b33823f0_2_1024x576.jpeg,2024-01-18 19:37:26,2024-01-18 21:30:36,3303,28,True,,False,True,[],everhusk,4,"[{'extras': None, 'description': 'Original Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14545, 'primary_group_id': None, 'flair_group_id': None}]",7
7,Welcome to Discourse,Welcome to Discourse,welcome-to-discourse,34,23,115,,2022-10-04 17:05:46,2024-02-03 07:55:06,14297,543,True,,False,True,[],mhiztasolid,4,"[{'extras': None, 'description': 'Original Poster', 'user_id': -1, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 9594, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13800, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14299, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 1761, 'primary_group_id': None, 'flair_group_id': None}]",-1
3,About the General category,About the General category,about-the-general-category,1,0,1,,2022-10-04 17:05:43,2022-10-04 17:05:43,382,4,True,,False,True,[],system,4,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': -1, 'primary_group_id': None, 'flair_group_id': None}]",-1
22489,Arbitrum Paradigm,Arbitrum Paradigm,arbitrum-paradigm,3,1,3,,2024-03-14 19:40:54,2024-03-15 10:58:44,50,0,False,,False,True,['proposal'],ImSalvo,4,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 15272, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14229, 'primary_group_id': None, 'flair_group_id': None}]",15272
22510,I need $3 eth arbitrum for gas fee and who can help,I need $3 eth arbitrum for gas fee and who can help,i-need-3-eth-arbitrum-for-gas-fee-and-who-can-help,1,0,1,,2024-03-15 09:21:23,2024-03-15 09:21:24,27,0,False,,False,True,[],HISPECdev,4,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 14866, 'primary_group_id': None, 'flair_group_id': None}]",14866
22500,XAI is a stimulant for the arbitrum ecosystem to grow superiorly compared to other layer2,XAI is a stimulant for the arbitrum ecosystem to grow superiorly compared to other layer2,xai-is-a-stimulant-for-the-arbitrum-ecosystem-to-grow-superiorly-compared-to-other-layer2,1,0,1,,2024-03-15 03:51:15,2024-03-15 03:51:15,31,0,False,,False,True,['proposal'],dinhtu,4,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 15282, 'primary_group_id': None, 'flair_group_id': None}]",15282
22340,Ethereum Bucharest x Arbitrum DAO,Ethereum Bucharest x Arbitrum DAO,ethereum-bucharest-x-arbitrum-dao,3,1,3,,2024-03-11 11:29:39,2024-03-12 13:46:28,113,5,False,,False,True,[],ZER8,4,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 9286, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7486, 'primary_group_id': None, 'flair_group_id': None}]",9286
22102,ArbOS code walkthrough,ArbOS code walkthrough,arbos-code-walkthrough,2,0,2,,2024-03-04 07:32:40,2024-03-04 21:31:35,146,1,False,,False,True,[],raam,4,"[{'extras': None, 'description': 'Original Poster', 'user_id': 13951, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14601, 'primary_group_id': None, 'flair_group_id': None}]",13951
22121,Fringe Finance is launching an incentive program for ARBITRUM Ecosystem token lenders on March 5,Fringe Finance is launching an incentive program for ARBITRUM Ecosystem token lenders on March 5,fringe-finance-is-launching-an-incentive-program-for-arbitrum-ecosystem-token-lenders-on-march-5,1,0,1,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/0/08024c886cd254f9d307d705ee6d6c49362e3f50_2_1024x576.png,2024-03-04 13:54:43,2024-03-04 13:54:43,90,0,False,,False,True,[],FringeFinance,4,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 14939, 'primary_group_id': None, 'flair_group_id': None}]",14939
22103,Out of order vulnerability due to mishandling retryable ticket,Out of order vulnerability due to mishandling retryable ticket,out-of-order-vulnerability-due-to-mishandling-retryable-ticket,1,0,1,,2024-03-04 07:36:16,2024-03-04 07:36:17,114,0,False,,False,True,[],montyly,4,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13951, 'primary_group_id': None, 'flair_group_id': None}]",13951
